state,date,division,index
Melaka,2019/8/1,overall,120.6
Melaka,2019/9/1,overall,120.6
Melaka,2019/10/1,overall,120.7
Melaka,2019/11/1,overall,120.8
Melaka,2019/12/1,overall,120.8
Melaka,2020/1/1,overall,120.8
Melaka,2020/2/1,overall,120.6
Melaka,2020/3/1,overall,119.1
Melaka,2020/4/1,overall,115.7
Melaka,2020/5/1,overall,116
Melaka,2020/6/1,overall,117.1
Melaka,2020/7/1,overall,117.8
Melaka,2020/8/1,overall,117.9
Melaka,2020/9/1,overall,117.9
Melaka,2020/10/1,overall,117.9
Melaka,2020/11/1,overall,117.7
Melaka,2020/12/1,overall,118.4
Melaka,2021/1/1,overall,120.1
Melaka,2021/2/1,overall,120.3
Melaka,2021/3/1,overall,120.6
Melaka,2021/4/1,overall,120.8
Melaka,2021/5/1,overall,120.8
Melaka,2021/6/1,overall,120.9
Melaka,2021/7/1,overall,120.2
Melaka,2021/8/1,overall,120.2
Melaka,2021/9/1,overall,120.6
Melaka,2021/10/1,overall,121.6
Melaka,2021/11/1,overall,122
Melaka,2021/12/1,overall,122.2
Melaka,2022/1/1,overall,122.5
Melaka,2022/2/1,overall,122.7
Melaka,2022/3/1,overall,122.9
Melaka,2022/4/1,overall,123
Melaka,2022/5/1,overall,123.3
Melaka,2022/6/1,overall,123.9
Melaka,2022/7/1,overall,124.6
Melaka,2022/8/1,overall,124.8
Melaka,2022/9/1,overall,125.1
